Account,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
Business Checking,39470,46098,52215,59553,66567,72426,77814,83910,91449,99923,109191,119178,127388,135125,142607,150862,159486,167626,174002,181169,189953,200146,210812,221729,231500,240676,250201,260510,269679,279441,287551,296807,306154,317951,330322,342947,354470,364710,375929,388290,400045,410336,420329,430829,442194,454490,467588,482420,495563,507875,520965,534104,547473,559334,570714,583513,596795,611635,627640,644374
Accounts Receivable,5244,5324,5058,4606,4350,4303,4658,4235,5428,4649,6157,5142,5485,5564,4820,4661,5300,5083,4761,5635,4718,4945,5561,5675,5197,6062,5014,6159,4895,5627,5268,4999,5282,6626,6010,7377,5926,6375,5137,6606,6604,6482,5882,5575,5246,6923,5830,6701,5486,5669,6943,6145,5949,6622,6791,6629,7525,6375,8134,8247
Food Inventory,6542,5651,6005,5836,6144,6551,5946,5932,6017,6736,6459,7702,6390,6014,6205,7015,6796,7055,5873,6596,6680,7689,7532,8274,7721,6731,6653,6801,7343,7455,6649,7462,6890,7323,7844,8028,7469,7579,8259,7276,7805,7038,7502,7363,8287,8782,8766,8358,7898,8098,7750,7928,8928,8525,7233,8333,7881,8834,9946,10336
Kitchen Equipment (Net),75200,74636,74072,73508,72944,72380,71816,71252,70688,70124,69560,68996,68432,67868,67304,66740,66176,65612,65048,64484,63920,63356,62792,62228,61664,61100,60536,59972,59408,58844,58280,57716,57152,56588,56024,55460,54896,54332,53768,53204,52640,52076,51512,50948,50384,49820,49256,48692,48128,47564,47000,46436,45872,45308,44744,44180,43616,43052,42488,41924
Leasehold Improvements (Net),44650,44321,43992,43663,43334,43005,42676,42347,42018,41689,41360,41031,40702,40373,40044,39715,39386,39057,38728,38399,38070,37741,37412,37083,36754,36425,36096,35767,35438,35109,34780,34451,34122,33793,33464,33135,32806,32477,32148,31819,31490,31161,30832,30503,30174,29845,29516,29187,28858,28529,28200,27871,27542,27213,26884,26555,26226,25897,25568,25239
Accounts Payable,9490,8735,8913,8728,9893,9541,9237,8910,9908,9382,10907,10781,10687,9545,10363,9971,9283,9748,8778,8885,10352,11545,11452,10772,9479,9365,9421,10876,9920,9408,10301,11205,10491,12152,11821,13428,11610,10829,10312,11047,12080,11385,9872,10635,10647,11802,13774,14085,12571,12666,11446,11365,12258,11140,11601,11661,11253,14109,13762,14845
Credit Card Payable,2985,3119,2131,2467,2937,2691,2032,2049,2395,2899,2827,2980,2474,3156,2904,2052,2371,2357,2049,2644,2941,3093,2940,2263,2360,2769,2456,1963,2859,2881,3173,2947,2282,2681,2958,2798,2405,2621,2262,2385,3027,2125,2686,2883,2910,2312,3134,2883,3209,2682,2322,2293,2786,2956,2695,3066,2430,2188,1951,3208
Accrued Payroll,3959,3693,4249,4224,4331,3977,3606,3945,3924,4076,4583,4492,4278,4427,4208,4754,4400,4029,4002,4009,4754,5032,4904,5084,4373,4243,4911,4813,4887,4423,4340,4792,4695,5334,5278,5429,5345,5000,4853,5433,5601,5315,4381,5226,5118,5302,5936,5757,5106,5230,5477,5847,5417,5559,5078,5648,5308,5596,6516,6166
Equipment Loan (Long Term),39950,39292,38634,37976,37318,36660,36002,35344,34686,34028,33370,32712,32054,31396,30738,30080,29422,28764,28106,27448,26790,26132,25474,24816,24158,23500,22842,22184,21526,20868,20210,19552,18894,18236,17578,16920,16262,15604,14946,14288,13630,12972,12314,11656,10998,10340,9682,9024,8366,7708,7050,6392,5734,5076,4418,3760,3102,2444,1786,1128
Owner Capital,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800,65800
Retained Earnings,48922,55391,61615,67971,73060,79996,86233,91628,98887,106936,115240,125284,133104,140620,146967,156336,165868,173735,179677,187497,192704,202275,213539,226254,236666,245317,253070,263573,271771,283096,288704,297139,307438,318078,330229,342572,354145,365619,377068,388242,398446,409496,421004,429018,440812,454304,462630,477809,490881,503649,518763,530787,543769,556471,566774,579275,594150,605656,623961,638973
