Account,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
Food Sales,48301,46172,47465,49097,48637,46426,44859,45772,49375,52186,54369,56217,52439,49380,50786,52848,54224,51419,47194,49460,53007,55921,58366,59524,55182,54106,55181,56289,56327,54058,51114,54504,56835,60908,62354,63778,59971,58326,58545,60241,61704,58304,56442,58509,60717,65171,66382,69590,62724,61344,63487,64171,65309,61795,60732,62542,65387,68985,73035,73439
Beverage Sales,8652,8333,8682,8822,8672,8497,8198,8462,9038,9555,9679,10244,9454,8781,9421,9175,9542,9138,8554,9259,9792,9900,10167,10722,10250,9911,10175,10126,10004,9865,9463,9880,10115,11132,11107,11585,10608,10257,10771,10882,10824,10344,10235,10364,10739,11775,11885,12877,11732,11021,11747,11816,11824,11599,10623,11241,11639,12340,13027,13509
Catering Revenue,4071,4079,3518,3896,3845,3632,3179,3882,4139,3724,3804,4121,3698,4287,4484,4014,4352,3749,3607,4108,3965,4870,5066,4346,4451,3950,4847,4810,4521,4307,4325,4424,4184,5163,4405,4706,4843,4263,5151,5171,4909,4492,4192,4356,4331,4621,4990,5638,5697,5288,5352,4850,5452,4762,5314,4948,5387,5706,5179,5523
Delivery Revenue,8467,8041,7915,8346,8148,8243,7560,7650,8247,8547,9490,9910,8775,8368,8483,8547,8755,8514,7871,8402,9345,9346,9581,10300,9142,9190,9620,9432,9437,9323,9051,8946,9483,9871,10813,10904,10304,9562,9656,10383,10533,9642,9423,9754,10706,11045,11742,11607,11275,10798,10390,11325,11095,11041,10048,10789,10877,12117,12529,12522
Food Purchases,14761,13573,14441,14733,14214,14022,13017,13420,14843,15462,16007,16579,15583,14356,15533,15832,15953,15252,14098,14876,15775,16986,17584,17613,16482,15690,16898,16680,17265,15636,15256,16613,17128,18371,18253,18933,17791,17338,17017,17496,18885,17323,16656,17244,17946,19994,20200,20790,18234,18205,19146,19167,19324,18764,18227,18242,19511,21140,22186,21758
Beverage Cost,2111,2053,2072,2049,2056,2109,1936,2054,2140,2215,2363,2374,2225,2096,2209,2115,2260,2129,2129,2210,2384,2305,2473,2582,2421,2303,2349,2500,2354,2327,2317,2354,2400,2638,2616,2834,2491,2555,2613,2519,2658,2393,2494,2478,2485,2874,2824,3162,2917,2749,2769,2873,2841,2782,2522,2796,2841,2876,3132,3299
Paper Goods & To-Go Supplies,1770,1629,1768,1788,1733,1744,1535,1703,1825,1870,1988,1971,1790,1759,1906,1919,1879,1765,1606,1833,1945,1990,2070,2154,2003,1917,1934,1980,2031,1955,1847,1985,2107,2206,2289,2187,2108,2016,2113,2087,2122,2082,1972,1978,2210,2353,2450,2420,2334,2200,2225,2294,2338,2243,2181,2208,2373,2374,2715,2642
Third Party Delivery Commissions,2328,2201,2196,2260,2217,2270,2077,2023,2191,2294,2499,2633,2334,2223,2287,2341,2425,2302,2155,2299,2504,2585,2518,2702,2491,2520,2568,2578,2568,2536,2447,2452,2538,2700,2867,2883,2773,2638,2561,2880,2906,2640,2558,2651,2909,2940,3219,3188,3011,2832,2845,3097,3035,2939,2738,2828,2944,3313,3479,3385
Manager Salaries,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990,7990
Hourly Wages,11668,11047,11251,11516,11428,11556,10944,10929,11676,12069,12805,13665,12557,11563,12589,12531,13278,12094,11013,12077,12854,13046,14237,14613,13038,13079,13601,13310,13880,12752,12490,12711,13777,14221,14998,15537,14336,13830,14363,14273,14667,14177,13407,14255,14871,15886,16417,16981,15717,14609,15051,15296,15852,15375,14812,14705,16028,16330,17108,17730
