Account,Number,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Checking,1010,69560,87231,105660,129023,157279,184827,212558,242037,269615,292798,315653,334950,352733,371808,393483,420837,450258,481686,517673,549622,579461,607365,630436,653142,674475,694366,722951,751805,788032,826589,864860,901704,934913,966130,994640,1020910,1045377,1071030,1102269,1136354,1175680,1219882,1261245,1300472,1338284,1372712,1400575,1429144,1452814,1482921,1516855,1556361,1597142,1644637,1692287,1739335,1782780,1823695,1857143,1886264
Accounts Receivable,1100,9303,9398,12115,12453,13166,16395,14338,13290,15659,12933,12589,11407,10360,12181,14312,15105,15270,14927,17023,15626,16346,13541,13253,11447,12034,14164,16143,14827,19148,20329,19363,21271,19177,17817,13692,12226,13345,13721,13658,18236,16840,20677,19389,22818,16328,19850,14988,16473,15799,14843,18935,22167,20349,21613,22522,22869,23659,18929,18141,18600
Materials Inventory,1300,5984,6311,7050,7803,9963,9154,9137,10668,9523,8959,6923,7391,7631,7099,7590,8863,10655,10501,10509,11095,10411,9002,8392,8253,7238,8071,9582,10286,10118,12365,11713,13082,11132,9713,9646,8976,9399,9038,10257,11851,11502,12866,14828,13333,12148,11666,10854,10340,10374,9940,11184,13655,13018,13607,14237,13440,13326,13717,10329,10369
Vehicles (Net),1500,96800,96008,95216,94424,93632,92840,92048,91256,90464,89672,88880,88088,87296,86504,85712,84920,84128,83336,82544,81752,80960,80168,79376,78584,77792,77000,76208,75416,74624,73832,73040,72248,71456,70664,69872,69080,68288,67496,66704,65912,65120,64328,63536,62744,61952,61160,60368,59576,58784,57992,57200,56408,55616,54824,54032,53240,52448,51656,50864,50072
Tools & Equipment (Net),1600,39600,39248,38896,38544,38192,37840,37488,37136,36784,36432,36080,35728,35376,35024,34672,34320,33968,33616,33264,32912,32560,32208,31856,31504,31152,30800,30448,30096,29744,29392,29040,28688,28336,27984,27632,27280,26928,26576,26224,25872,25520,25168,24816,24464,24112,23760,23408,23056,22704,22352,22000,21648,21296,20944,20592,20240,19888,19536,19184,18832
Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accounts Payable,2010,11196,12575,14247,15429,17020,18877,16985,16283,16882,15870,12691,13384,11917,12757,16029,16957,18498,18327,18263,20726,17699,17295,15354,15217,12695,15230,16203,17774,21286,22008,23993,22986,19421,17611,15788,17195,14590,15233,19074,19160,21113,21093,22017,24275,20969,21471,18044,19304,15975,18417,20848,22409,22035,23495,24665,24970,24280,23897,19094,20112
Credit Card Payable,2100,3407,3954,4546,3557,4394,3466,3958,4315,5326,4731,5470,4844,4702,4012,5358,4785,4766,4847,4498,5028,4540,4188,4242,3466,4250,3310,3956,4728,4995,3624,5361,4268,3740,3721,4777,4625,5207,3961,4525,4298,4926,3850,3626,4686,4936,4227,3520,4580,3345,3370,4156,5386,3478,3813,3800,4855,4029,3891,3565,5109
Accrued Payroll,2200,5029,5046,5972,6553,7637,7077,7734,7340,6695,6182,5487,5713,5959,6023,6026,7324,7422,8410,8998,8483,7887,7655,6165,6585,6069,6614,7012,7523,8773,9945,10202,8941,8142,7435,6924,6729,6833,6888,8451,9339,8790,10495,10080,9940,8729,8530,8300,7602,7246,7718,8244,9442,9896,10696,10900,10822,10662,9398,8979,8989
Customer Deposits,2400,5974,5731,7029,8415,8024,9797,8993,9831,8623,7886,6690,5987,6687,7225,7374,8627,9315,9962,9564,9328,7895,8842,6549,7663,7154,8015,8432,8210,8819,10419,10258,10000,10473,9078,8824,7700,7390,8384,9403,9694,10416,12357,11637,11333,9774,9867,9971,7965,8617,8620,10347,10779,11364,12949,11709,13031,10582,11050,10917,9175
Vehicle Loans (Long Term),2600,79200,78056,76912,75768,74624,73480,72336,71192,70048,68904,67760,66616,65472,64328,63184,62040,60896,59752,58608,57464,56320,55176,54032,52888,51744,50600,49456,48312,47168,46024,44880,43736,42592,41448,40304,39160,38016,36872,35728,34584,33440,32296,31152,30008,28864,27720,26576,25432,24288,23144,22000,20856,19712,18568,17424,16280,15136,13992,12848,11704
Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner Capital,3000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000,132000
Retained Earnings,3900,-15559,834,18232,40525,68533,96359,123562,153426,182471,205221,230027,249021,266659,286271,305800,332311,361382,390767,429082,457978,493397,517128,544969,565111,588779,608632,638272,663883,698626,738487,771321,815063,848647,881016,906865,931063,959302,984523,1009931,1049152,1083977,1130831,1173302,1211588,1247552,1285333,1311782,1341705,1369003,1394780,1428579,1469367,1508935,1554104,1603171,1647164,1695413,1733305,1768257,1797047
