Account,Number,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Service Call Revenue,4000,33172,35272,39236,44203,49201,53416,53053,54011,47828,45922,39941,39590,39544,41374,47840,51324,55956,62867,63521,61321,56251,53686,47955,46953,47003,46309,53919,60717,66969,71560,73644,70129,68905,62511,55321,55884,54313,55914,63856,69559,78517,81181,84433,83458,76020,72354,66021,65431,63341,65009,72078,81947,90334,97621,99850,99040,88686,85235,76946,76609
Project Revenue,4100,20028,18230,23340,26460,27214,29163,27969,26504,25807,27426,23561,21972,19632,24275,26975,30898,33108,30529,37015,34710,32009,29546,27536,26463,23120,28671,27293,30578,37382,40975,37687,41361,37682,32234,29063,31455,30283,28444,34092,38124,44199,48798,43459,43007,46082,38384,34431,32533,31384,35460,42286,46763,47703,50056,54179,52494,46255,44846,45364,41820
Maintenance Plan Revenue,4200,7397,7897,8966,10311,10244,11180,11317,11185,11199,10177,9297,8553,9046,9408,10231,11899,12417,13452,14030,13042,13089,11593,10458,10127,9732,10205,11541,13699,14225,16488,15508,15622,15166,13378,12674,12236,11906,11613,14298,16157,17335,17956,18641,18497,17380,16444,14897,14392,14018,13658,16317,18729,20607,22300,21182,22510,20682,18195,16084,16371
Materials Markup,4300,10119,10207,12593,13057,15307,15213,15662,15106,14731,13543,12179,12365,12037,11936,14684,16378,16443,18695,19911,18751,17117,15529,15146,14970,14210,14270,15791,17962,20325,20929,23301,22309,19278,19642,16032,16694,16289,16635,19018,20938,24375,24580,25367,26094,23805,23177,20329,18729,18183,18836,21020,25929,28289,28142,29689,29888,28229,24190,23970,21816
Cost of Goods Sold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subcontractor Labor,5000,18611,18227,23175,24068,27858,28040,29683,29249,27058,26573,23346,21797,20615,23207,26516,30249,30612,34481,35177,34720,31332,29336,27807,26516,25909,27341,28376,33094,37645,39918,39528,39547,37928,32949,29871,32031,29998,29922,34803,37966,44852,44010,46756,43686,44607,41178,35467,33704,32679,36333,41669,45550,50347,51721,55532,52699,49647,45559,42855,43001
Materials & Parts,5100,14219,14966,17433,19135,20508,22471,21874,22036,19752,19546,16484,16608,16220,17986,20442,22253,24549,25340,26011,25790,22940,23069,20613,20128,18614,19525,21554,25192,27056,30096,30675,31160,29510,25306,23509,24307,23619,22631,25965,29379,33257,34579,35427,34696,31948,29893,26862,26540,26286,26300,31363,34201,38526,38813,39782,40841,38010,35610,34008,32412
Equipment Rental,5200,2671,2531,3218,3338,3780,4037,4126,4159,3678,3740,3106,3203,3018,3223,3534,4051,4264,4572,4747,4521,4571,3980,3773,3618,3584,3704,3903,4695,5297,5654,5396,5725,5328,4671,4124,4521,4146,4274,4638,5130,5984,6443,6662,6642,5939,5555,4864,4852,4540,4943,5783,6501,6598,7276,7888,7827,6878,6107,6017,5552
Disposal & Permit Fees,5300,1937,1868,2218,2472,2717,2779,2912,2750,2719,2638,2229,2132,2080,2244,2709,3000,3044,3355,3573,3431,3048,2973,2610,2602,2601,2710,2751,3346,3751,4142,4083,4088,3869,3296,3048,2983,2921,2934,3320,3936,4423,4600,4631,4690,4522,4142,3483,3347,3444,3462,4187,4627,4817,5239,5271,5189,4873,4667,4359,3996
Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
